source,target
2100907,2202000
2100907,2204659
2100907,2206696
2100907,2207702
2100956,2104800
2100956,2105351
2100956,2105963
2100956,2106359
2100956,2110005
2101004,2102507
2101004,2103554
2101004,2106631
2101004,2106755
2101004,2112803
2101004,2112902
2101103,2102374
2101103,2105104
2101103,2107100
2101103,2109205
2101103,2109601
2101202,2102077
2101202,2105807
2101202,2105906
2101202,2107407
2101202,2111409
2101202,2111508
2101251,2109601
2101251,2110203
2101251,2111300
2101301,2103703
2101301,2111789
2101301,2112407
2101301,2112456
2101350,2102408
2101350,2108405
2101350,2110500
2101400,2104107
2101400,2107258
2101400,2109502
2101400,2109700
2101400,2111607
2101400,2112001
2101509,2110906
2101509,2111102
2101509,2111953
2101509,2200509
2101509,2203909
2101509,2205300
2101608,2104081
2101608,2104800
2101608,2105351
2101608,2105476
2101608,2105609
2101608,2111631
2101608,2111672
2101608,2112308
2101707,2108058
2101707,2109403
2101707,2110104
2101707,2110237
2101707,2110278
2101707,2112605
2101731,2105005
2101731,2107100
2101731,2109403
2101731,2110401
2101731,2112605
2101772,2105153
2101772,2106904
2101772,2108702
2101772,2109908
2101772,2111722
2101806,2107308
2101806,2108009
2101806,2110658
2101806,2110807
2101806,2200806
2101806,2208551
2101806,2208908
2101806,2211209
2101905,2103125
2101905,2104909
2101905,2108405
2101905,2108603
2101939,2105203
2101939,2108207
2101939,2108900
2101939,2112233
2101970,2102903
2101970,2105658
2102002,2102036
2102002,2102325
2102002,2103174
2102002,2104651
2102002,2105427
2102002,2106904
2102002,2108504
2102002,2111029
2102002,2112274
2102036,2102325
2102077,2105708
2102077,2105807
2102077,2105906
2102077,2107407
2102077,2108108
2102077,2111409
2102077,2113009
2102101,2102200
2102101,2106672
2102101,2202174
2102101,2206100
2102101,2208502
2102150,2108108
2102150,2110005
2102150,2113009
2102200,2103208
2102200,2103406
2102200,2103901
2102200,2106409
2102200,2206209
2102200,2208502
2102309,2103505
2102309,2104206
2102309,2105922
2102309,2107803
2102309,2107902
2102325,2110005
2102358,2103752
2102358,2104552
2102358,2107001
2102358,2111763
2102374,2107100
2102374,2109205
2102374,2109304
2102408,2110203
2102408,2110500
2102408,2111003
2102408,2111706
2102507,2105153
2102507,2106904
2102507,2108306
2102507,2112803
2102507,2112902
2102556,2105989
2102556,2109007
2102556,2109551
2102606,2104305
2102606,2104677
2102606,2106326
2102606,2112407
2102606,2112456
2102705,2105401
2102705,2106631
2102705,2106755
2102705,2108801
2102705,2112704
2102754,2103307
2102754,2106003
2102754,2108454
2102754,2110302
2102804,2104057
2102804,2104073
2102804,2109502
2102804,2111573
2102903,2105658
2102903,2106201
2103000,2103307
2103000,2103406
2103000,2106607
2103000,2107803
2103000,2111078
2103000,2111748
2103000,2112209
2103000,2211001
2103000,2211100
2103109,2104909
2103109,2106805
2103109,2109056
2103125,2104909
2103125,2106805
2103125,2108603
2103158,2103174
2103158,2104677
2103158,2106326
2103158,2106375
2103174,2105427
2103174,2105658
2103174,2106326
2103174,2106375
2103174,2107357
2103174,2111029
2103174,2114007
2103208,2103307
2103208,2103406
2103208,2106409
2103208,2107209
2103208,2110401
2103208,2112100
2103208,2112605
2103208,2112704
2103257,2105302
2103257,2110856
2103257,2112852
2103307,2103604
2103307,2103802
2103307,2104404
2103307,2104503
2103307,2108454
2103307,2110302
2103307,2111078
2103307,2112100
2103406,2103901
2103406,2206209
2103406,2211100
2103505,2104206
2103505,2105450
2103505,2106706
2103505,2107704
2103505,2107902
2103505,2110708
2103505,2111904
2103505,2112308
2103554,2105906
2103554,2106631
2103554,2108702
2103554,2111508
2103554,2112902
2103604,2108454
2103604,2108801
2103604,2111508
2103604,2112100
2103604,2112704
2103703,2106805
2103703,2109056
2103703,2111789
2103752,2104552
2103752,2105302
2103752,2111763
2103802,2104503
2103802,2109106
2103802,2110302
2103802,2111250
2103901,2206209
2104008,2105609
2104008,2105708
2104008,2108207
2104008,2108900
2104008,2111672
2104057,2109007
2104057,2111052
2104057,2111573
2104073,2104107
2104073,2107258
2104073,2109502
2104073,2111573
2104081,2104099
2104081,2104800
2104081,2106706
2104081,2112308
2104099,2104107
2104099,2104800
2104099,2106706
2104099,2111573
2104099,2111805
2104107,2106706
2104107,2107258
2104107,2111573
2104107,2111607
2104206,2104602
2104206,2104628
2104206,2105450
2104206,2107803
2104206,2110708
2104305,2106201
2104404,2104503
2104404,2104602
2104404,2104701
2104404,2109106
2104404,2111078
2104404,2111748
2104503,2109106
2104552,2105302
2104552,2107001
2104552,2109551
2104602,2104628
2104602,2104701
2104602,2107803
2104602,2111748
2104628,2104701
2104628,2110708
2104651,2106904
2104651,2111029
2104651,2114007
2104677,2106326
2104677,2106375
2104677,2109239
2104677,2112456
2104701,2109106
2104701,2110708
2104800,2105351
2104800,2105476
2104800,2111805
2104909,2106805
2105005,2105104
2105005,2107100
2105005,2109403
2105104,2107100
2105153,2106904
2105153,2108702
2105153,2112902
2105203,2105807
2105203,2105948
2105203,2108900
2105203,2111409
2105203,2112233
2105302,2105500
2105302,2110856
2105302,2111763
