code_muni,name,state,lat,lon
4304622,Capão Bonito do Sul,RS,-28.175374499999997,-51.37840484759745
4304630,Capão da Canoa,RS,-29.689023849999998,-49.996827682334505
4304655,Capão do Cipó,RS,-28.94922245,-54.56123786396779
4304663,Capão do Leão,RS,-31.8493353,-52.542486947060695
3112109,Caparaó,MG,-20.531152,-41.95097429545454
2701704,Capela,AL,-9.34425665,-36.058793166431826
2801306,Capela,SE,-10.483760349999997,-37.02956660928543
4304689,Capela de Santana,RS,-29.711005299999997,-51.37092184870011
3510302,Capela do Alto,SP,-23.4734347,-47.72771776018193
2906857,Capela do Alto Alegre,BA,-11.65176085,-39.83236617374595
3112208,Capela Nova,MG,-20.91549,-43.60283902256385
3112307,Capelinha,MG,-17.702821,-42.468408949215984
3112406,Capetinga,MG,-20.660805499999995,-47.04832948397906
2504033,Capim,PB,-6.89957645,-35.16528335022414
3112505,Capim Branco,MG,-19.5814875,-44.16890730188679
2906873,Capim Grosso,BA,-11.297111999999998,-39.961554380518734
3112604,Capinópolis,MG,-18.67513,-49.60136962601606
4203907,Capinzal,SC,-27.423978299999995,-51.630008586429454
2102754,Capinzal do Norte,MA,-4.685445250000001,-44.316222483344795
2302909,Capistrano,CE,-4.4667943999999995,-38.920880721879286
4304697,Capitão,RS,-29.2803824,-51.98509961862038
3112653,Capitão Andrade,MG,-19.050532499999996,-41.820019989381066
2202406,Capitão de Campos,PI,-4.525468699999999,-41.9178218363932
3112703,Capitão Enéas,MG,-16.099117,-43.64790930138248
2202455,Capitão Gervásio Oliveira,PI,-8.5338019,-41.92989259343464
4104600,Capitão Leônidas Marques,PR,-25.455831700000005,-53.595620582784804
1502301,Capitão Poço,PA,-2.0661405,-47.2587860794561
3112802,Capitólio,MG,-20.611404,-46.13262432732947
3510401,Capivari,SP,-22.9866623,-47.49574792375332
4203956,Capivari de Baixo,SC,-28.454077650000002,-48.947244075738915
4304671,Capivari do Sul,RS,-30.147498300000002,-50.50450059420862
1200179,Capixaba,AC,-10.453428849999998,-67.87677893844324
2603801,Capoeiras,PE,-8.677623699999998,-36.598418447396895
3112901,Caputira,MG,-20.183459,-42.26190210348837
4304713,Caraá,RS,-29.76825445,-50.357855019814835
1400209,Caracaraí,RR,0.3115647,-62.10849501359501
2202505,Caracol,PI,-9.075935049999998,-43.32997126641014
5002803,Caracol,MS,-21.90580135,-57.03897070816769
3510500,Caraguatatuba,SP,-23.6214486,-45.45797170929405
3113008,Caraí,MG,-17.163187999999998,-41.47181688888888
2906899,Caraíbas,BA,-14.6323513,-41.30011895246472
4104659,Carambeí,PR,-24.88986975,-50.17354756874359
3113107,Caranaíba,MG,-20.8934085,-43.72563436956521
3113206,Carandaí,MG,-20.999575,-43.84194369117647
3113305,Carangola,MG,-20.7072655,-42.100626790196074
3300936,Carapebus,RJ,-22.2041702,-41.65095878201064
3510609,Carapicuíba,SP,-23.5474562,-46.841581181336934
3113404,Caratinga,MG,-19.688898,-41.88729039943793
1301001,Carauari,AM,-5.17565325,-67.4956239582041
2402303,Caraúbas,RN,-5.788733199999999,-37.593547250297306
